,hd,Station Number,Year Month Day Hour Minutes in YYYY.1,MM.1,DD.1,HH24.1,MI format in Local standard time,Precipitation since last (AWS) observation in mm,Quality of precipitation since last (AWS) observation value,Period over which precipitation since last (AWS) observation is,Air Temperature in degrees Celsius,Quality of air temperature,Wet bulb temperature in degrees Celsius,Quality of Wet bulb temperature,Dew point temperature in degrees Celsius,Quality of dew point temperature,Relative humidity in percentage %,Quality of relative humidity,Vapour pressure in hPa,Quality of vapour pressure,Saturated vapour pressure in hPa,Quality of saturated vapour pressure,Wind (1 minute) speed in km/h,Wind (1 minute) speed quality,Wind (1 minute) direction in degrees true,Wind (1 minute) direction quality,Standard deviation of wind (1 minute),Standard deviation of wind (1 minute) direction quality,Maximum wind gust (over 1 minute) in km/h,Maximum wind gust (over 1 minute) quality,Height of cloud (ceilometer - instantaneous sample 1) in meters,Quality of cloud height (ceilometer - instantaneous sample 1),Height of cloud (ceilometer - instantaneous sample 2) in meters,Quality of cloud height (ceilometer - instantaneous sample 2),Height of cloud (ceilometer - instantaneous sample 3) in meters,Quality of cloud height (ceilometer - instantaneous sample 3),Height of cloud (ceilometer - instantaneous sample 4) in meters,Quality of cloud height (ceilometer - instantaneous sample 4),Height of cloud (ceilometer - instantaneous sample 5) in meters,Quality of cloud height (ceilometer - instantaneous sample 5),Cloud amount for layer 1 (30 minute ceilometer mean) in eighths,Quality of layer 1 cloud amount (30 minute ceilometer mean),Cloud height for layer 1 (30 minute ceilometer mean) in meters,Quality of layer 1 cloud height (30 minute ceilometer mean),Cloud amount for layer 2 (30 minute ceilometer mean) in eighths,Quality of layer 2 cloud amount (30 minute ceilometer mean),Cloud height for layer 2 (30 minute ceilometer mean) in meters,Quality of layer 2 cloud height (30 minute ceilometer mean),Cloud amount for layer 3 (30 minute ceilometer mean) in eighths,Quality of layer 3 cloud amount (30 minute ceilometer mean),Cloud height for layer 3 (30 minute ceilometer mean) in meters,Quality of layer 3 cloud height (30 minute ceilometer mean),* Total amount of cloud in eighths,* Quality of total cloud amount,Mean sea level pressure in hPa,Quality of mean sea level pressure,Station level pressure in hPa,Quality of station level pressure,QNH pressure in hPa,Quality of QNH pressure,#
10,hd,86282,2018,10,18,0,10,0.0,Y,1,14.5,Y,13.4,Y,12.5,Y,88,Y,14.5,Y,16.5,Y, 11,Y,352,Y, 21,Y, 11,Y,1920,Y,1920,Y,1880,Y, 1850,Y,     ,F,6,Y, 2040,Y,7,Y, 2590,Y,0,Y,    0,Y, , ,1012.3,Y,998.1,Y,1012.3,Y,#
11,hd,86282,2018,10,18,0,11,0.0,Y,1,14.5,Y,13.4,Y,12.5,Y,88,Y,14.5,Y,16.5,Y, 11,Y,  2,Y,  1,Y, 11,Y,1850,Y,1880,Y,1880,Y, 1900,Y,     ,F,6,Y, 2040,Y,7,Y, 2590,Y,0,Y,    0,Y, , ,1012.3,Y,998.1,Y,1012.3,Y,#
12,hd,86282,2018,10,18,0,12,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,342,Y,  9,Y, 13,Y,2010,Y,2060,Y,2010,Y, 2000,Y,     ,F,6,Y, 2040,Y,7,Y, 2590,Y,0,Y,    0,Y, , ,1012.3,Y,998.1,Y,1012.3,Y,#
13,hd,86282,2018,10,18,0,13,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,350,Y, 12,Y, 11,Y,1930,Y,2030,Y,2060,Y, 2380,Y,     ,F,6,Y, 2040,Y,7,Y, 2590,Y,0,Y,    0,Y, , ,1012.3,Y,998.1,Y,1012.3,Y,#
14,hd,86282,2018,10,18,0,14,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,  3,Y,  1,Y, 11,Y,2390,Y,2090,Y,2100,Y, 2290,Y,     ,F,6,Y, 2040,Y,7,Y, 2590,Y,0,Y,    0,Y, , ,1012.3,Y,998.1,Y,1012.3,Y,#
15,hd,86282,2018,10,18,0,15,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,355,Y, 13,Y, 13,Y,2380,Y,2450,Y,2070,Y, 2120,Y,     ,F,6,Y, 2040,Y,6,Y, 2350,Y,7,Y, 2590,Y, , ,1012.3,Y,998.1,Y,1012.3,Y,#
16,hd,86282,2018,10,18,0,16,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,358,Y,  9,Y, 13,Y,2110,Y,2100,Y,2090,Y, 2070,Y,     ,F,6,Y, 2040,Y,6,Y, 2350,Y,7,Y, 2590,Y, , ,1012.3,Y,998.1,Y,1012.3,Y,#
17,hd,86282,2018,10,18,0,17,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,354,Y, 11,Y, 11,Y,2070,Y,2520,Y,2200,Y, 2160,Y,     ,F,6,Y, 2040,Y,6,Y, 2350,Y,7,Y, 2590,Y, , ,1012.3,Y,998.1,Y,1012.3,Y,#
18,hd,86282,2018,10,18,0,18,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 11,Y,  3,Y,  1,Y, 13,Y,2500,Y,2470,Y,2210,Y, 2210,Y,     ,F,6,Y, 2040,Y,7,Y, 2500,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
19,hd,86282,2018,10,18,0,19,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,  2,Y,  1,Y, 11,Y,2210,Y,2150,Y,2080,Y, 2050,Y,     ,F,6,Y, 2040,Y,7,Y, 2500,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
20,hd,86282,2018,10,18,0,20,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y,  9,Y,  2,Y,  1,Y, 11,Y,2020,Y,2020,Y,2040,Y, 2050,Y,     ,F,6,Y, 2040,Y,7,Y, 2500,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
21,hd,86282,2018,10,18,0,21,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y,  9,Y,  2,Y,  1,Y, 11,Y,2080,Y,2070,Y,2070,Y, 2000,Y,     ,F,6,Y, 2040,Y,7,Y, 2410,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
22,hd,86282,2018,10,18,0,22,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y,  9,Y,343,Y, 18,Y, 11,Y,1960,Y,1960,Y,1930,Y, 1920,Y,     ,F,6,Y, 2040,Y,7,Y, 2410,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
23,hd,86282,2018,10,18,0,23,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y,  9,Y,350,Y, 14,Y, 11,Y,1960,Y,1950,Y,1990,Y, 1580,Y,     ,F,6,Y, 1980,Y,7,Y, 2260,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
24,hd,86282,2018,10,18,0,24,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y,  9,Y,  2,Y,  1,Y, 11,Y,1990,Y,2000,Y,2460,Y, 2600,Y,     ,F,6,Y, 1980,Y,7,Y, 2470,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
25,hd,86282,2018,10,18,0,25,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,  2,Y,  1,Y, 11,Y,2600,Y,1940,Y,1750,Y, 1750,Y,     ,F,6,Y, 1980,Y,7,Y, 2470,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
26,hd,86282,2018,10,18,0,26,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,  2,Y,  1,Y, 13,Y,1750,Y,1750,Y,1800,Y, 1870,Y,     ,F,7,Y, 1980,Y,0,Y,    0,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
27,hd,86282,2018,10,18,0,27,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,336,Y,  7,Y, 13,Y,1770,Y,1700,Y,1680,Y, 1680,Y,     ,F,1,Y, 1710,Y,7,Y, 1980,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
28,hd,86282,2018,10,18,0,28,0.0,Y,1,14.4,Y,13.3,Y,12.4,Y,88,Y,14.4,Y,16.4,Y, 11,Y,335,Y,  4,Y, 13,Y,1660,Y,1660,Y,1640,Y, 1630,Y,     ,F,1,Y, 1710,Y,7,Y, 1980,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
29,hd,86282,2018,10,18,0,29,0.0,Y,1,14.3,Y,13.3,Y,12.5,Y,89,Y,14.5,Y,16.3,Y, 11,Y,331,Y,  3,Y, 11,Y,1620,Y,1580,Y,1580,Y, 1580,Y,     ,F,5,Y, 1830,Y,7,Y, 2100,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
30,hd,86282,2018,10,18,0,30,0.0,Y,1,14.3,Y,13.3,Y,12.5,Y,89,Y,14.5,Y,16.3,Y,  9,Y,330,Y,  3,Y, 11,Y,1590,Y,1590,Y,1590,Y, 1590,Y,     ,F,1,Y, 1580,Y,7,Y, 1980,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
31,hd,86282,2018,10,18,0,31,0.0,Y,1,14.3,Y,13.3,Y,12.5,Y,89,Y,14.5,Y,16.3,Y, 11,Y,340,Y, 12,Y, 13,Y,1640,Y,1590,Y,1600,Y, 1630,Y,     ,F,2,Y, 1580,Y,7,Y, 1980,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
32,hd,86282,2018,10,18,0,32,0.0,Y,1,14.4,Y,13.2,Y,12.2,Y,87,Y,14.2,Y,16.4,Y, 11,Y,332,Y,  7,Y, 11,Y,1630,Y,1620,Y,1600,Y, 1620,Y,     ,F,4,Y, 1710,Y,7,Y, 2040,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
33,hd,86282,2018,10,18,0,33,0.0,Y,1,14.4,Y,13.3,Y,12.4,Y,88,Y,14.4,Y,16.4,Y, 11,Y,336,Y,  7,Y, 11,Y,1630,Y,1620,Y,1620,Y, 1590,Y,     ,F,4,Y, 1710,Y,7,Y, 2040,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
34,hd,86282,2018,10,18,0,34,0.0,Y,1,14.4,Y,13.3,Y,12.4,Y,88,Y,14.4,Y,16.4,Y, 11,Y,337,Y,  5,Y, 13,Y,1590,Y,1570,Y,1570,Y, 1580,Y,     ,F,4,Y, 1620,Y,7,Y, 1980,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
35,hd,86282,2018,10,18,0,35,0.0,Y,1,14.4,Y,13.3,Y,12.4,Y,88,Y,14.4,Y,16.4,Y, 11,Y,341,Y,  1,Y, 13,Y,1570,Y,1560,Y,1520,Y, 1560,Y,     ,F,4,Y, 1620,Y,7,Y, 1980,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
36,hd,86282,2018,10,18,0,36,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 13,Y,352,Y, 10,Y, 13,Y,1580,Y,1580,Y,1560,Y, 1510,Y,     ,F,4,Y, 1620,Y,7,Y, 1980,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
37,hd,86282,2018,10,18,0,37,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 11,Y,351,Y, 10,Y, 13,Y,1500,Y,1470,Y,1450,Y, 1450,Y,     ,F,4,Y, 1620,Y,7,Y, 1980,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
38,hd,86282,2018,10,18,0,38,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 13,Y,341,Y,  5,Y, 13,Y,1430,Y,1410,Y,1400,Y, 1390,Y,     ,F,1,Y, 1430,Y,4,Y, 1620,Y,7,Y, 1980,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
39,hd,86282,2018,10,18,0,39,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 11,Y,337,Y,  3,Y, 13,Y,1390,Y,1380,Y,1520,Y, 1450,Y,     ,F,1,Y, 1430,Y,4,Y, 1620,Y,7,Y, 1980,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
40,hd,86282,2018,10,18,0,40,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 11,Y,338,Y,  1,Y, 13,Y,1450,Y,1420,Y,1410,Y, 1400,Y,     ,F,1,Y, 1430,Y,5,Y, 1620,Y,7,Y, 1980,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
41,hd,86282,2018,10,18,0,41,0.0,Y,1,14.7,Y,13.3,Y,12.1,Y,85,Y,14.1,Y,16.7,Y, 13,Y,342,Y, 11,Y, 15,Y,1400,Y,1390,Y,1380,Y, 1380,Y,     ,F,2,Y, 1430,Y,5,Y, 1620,Y,7,Y, 1980,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
42,hd,86282,2018,10,18,0,42,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 17,Y,340,Y,  8,Y, 17,Y,1380,Y,1450,Y,1500,Y, 1550,Y,     ,F,2,Y, 1430,Y,5,Y, 1620,Y,7,Y, 1980,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
43,hd,86282,2018,10,18,0,43,0.0,Y,1,14.7,Y,13.3,Y,12.1,Y,85,Y,14.1,Y,16.7,Y, 13,Y,353,Y, 12,Y, 15,Y,1420,Y,1410,Y,1410,Y, 1410,Y,     ,F,2,Y, 1430,Y,5,Y, 1620,Y,7,Y, 2040,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
44,hd,86282,2018,10,18,0,44,0.0,Y,1,14.7,Y,13.3,Y,12.1,Y,85,Y,14.1,Y,16.7,Y, 13,Y,340,Y,  3,Y, 13,Y,1400,Y,1400,Y,1410,Y, 1400,Y,     ,F,2,Y, 1370,Y,5,Y, 1620,Y,7,Y, 2040,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
45,hd,86282,2018,10,18,0,45,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 13,Y,353,Y, 12,Y, 15,Y,1410,Y,1400,Y,1400,Y, 1390,Y,     ,F,4,Y, 1430,Y,6,Y, 1620,Y,7,Y, 2040,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
46,hd,86282,2018,10,18,0,46,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 15,Y,349,Y, 11,Y, 17,Y,1370,Y,1370,Y,1380,Y, 1360,Y,     ,F,4,Y, 1430,Y,6,Y, 1620,Y,7,Y, 2040,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
47,hd,86282,2018,10,18,0,47,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 15,Y,343,Y,  6,Y, 17,Y,1350,Y,1350,Y,1340,Y, 1330,Y,     ,F,4,Y, 1370,Y,6,Y, 1620,Y,7,Y, 2040,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
48,hd,86282,2018,10,18,0,48,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 15,Y,356,Y, 10,Y, 17,Y,1320,Y,1310,Y,1290,Y, 1280,Y,     ,F,4,Y, 1370,Y,6,Y, 1620,Y,7,Y, 1980,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
49,hd,86282,2018,10,18,0,49,0.0,Y,1,14.6,Y,13.4,Y,12.4,Y,87,Y,14.4,Y,16.6,Y, 13,Y,342,Y,  5,Y, 15,Y,1330,Y,1360,Y,1380,Y, 1380,Y,     ,F,4,Y, 1370,Y,6,Y, 1620,Y,7,Y, 1980,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
50,hd,86282,2018,10,18,0,50,0.0,Y,1,14.7,Y,13.4,Y,12.3,Y,86,Y,14.3,Y,16.7,Y, 13,Y,346,Y, 10,Y, 15,Y,1230,Y,1180,Y,1190,Y, 1190,Y,     ,F,4,Y, 1370,Y,7,Y, 1620,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
51,hd,86282,2018,10,18,0,51,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 15,Y,338,Y,  2,Y, 15,Y,1360,Y,1330,Y,1330,Y, 1350,Y,     ,F,4,Y, 1370,Y,7,Y, 1550,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
52,hd,86282,2018,10,18,0,52,0.0,Y,1,14.6,Y,13.3,Y,12.2,Y,86,Y,14.2,Y,16.6,Y, 13,Y,332,Y,  3,Y, 15,Y,1340,Y,1330,Y,1340,Y, 1350,Y,     ,F,5,Y, 1370,Y,7,Y, 1550,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
53,hd,86282,2018,10,18,0,53,0.0,Y,1,14.5,Y,13.3,Y,12.3,Y,87,Y,14.3,Y,16.5,Y, 13,Y,333,Y,  3,Y, 15,Y,1400,Y,1340,Y,740,Y, 1430,Y,     ,F,5,Y, 1370,Y,7,Y, 1620,Y,0,Y,    0,Y, , ,1012.2,Y,998.0,Y,1012.2,Y,#
54,hd,86282,2018,10,18,0,54,0.2,Y,1,14.4,Y,13.3,Y,12.4,Y,88,Y,14.4,Y,16.4,Y, 11,Y,331,Y,  5,Y, 13,Y,620,Y,1460,Y,1590,Y, 1490,Y,     ,F,5,Y, 1370,Y,7,Y, 1620,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
55,hd,86282,2018,10,18,0,55,0.0,Y,1,14.4,Y,13.3,Y,12.4,Y,88,Y,14.4,Y,16.4,Y, 11,Y,327,Y,  3,Y, 13,Y,1500,Y,1500,Y,1500,Y, 1480,Y,     ,F,5,Y, 1370,Y,7,Y, 1620,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
56,hd,86282,2018,10,18,0,56,0.0,Y,1,14.4,Y,13.3,Y,12.4,Y,88,Y,14.4,Y,16.4,Y, 13,Y,321,Y,  7,Y, 15,Y,1490,Y,1480,Y,1490,Y, 1490,Y,     ,F,5,Y, 1370,Y,7,Y, 1620,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
57,hd,86282,2018,10,18,0,57,0.0,Y,1,14.5,Y,13.2,Y,12.1,Y,85,Y,14.1,Y,16.5,Y, 13,Y,321,Y,  1,Y, 17,Y,1510,Y,1510,Y,1500,Y, 1490,Y,     ,F,5,Y, 1370,Y,7,Y, 1620,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
58,hd,86282,2018,10,18,0,58,0.0,Y,1,14.6,Y,13.2,Y,12.0,Y,84,Y,14.0,Y,16.6,Y, 13,Y,320,Y,  2,Y, 13,Y,1490,Y,1490,Y,1500,Y, 1500,Y,     ,F,5,Y, 1370,Y,7,Y, 1550,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
59,hd,86282,2018,10,18,0,59,0.0,Y,1,14.6,Y,13.1,Y,11.8,Y,83,Y,13.8,Y,16.6,Y, 13,Y,312,Y, 14,Y, 15,Y,1490,Y,1480,Y,1490,Y, 1490,Y,     ,F,5,Y, 1370,Y,7,Y, 1550,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
60,hd,86282,2018,10,18,1,0,0.0,Y,1,14.6,Y,13.2,Y,12.0,Y,84,Y,14.0,Y,16.6,Y, 11,Y,325,Y,  9,Y, 13,Y,1490,Y,1490,Y,1500,Y, 1500,Y,     ,F,6,Y, 1370,Y,7,Y, 1550,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
61,hd,86282,2018,10,18,1,1,0.0,Y,1,14.6,Y,13.2,Y,12.0,Y,84,Y,14.0,Y,16.6,Y, 13,Y,320,Y, 10,Y, 18,Y,1490,Y,1490,Y,1470,Y, 1470,Y,     ,F,6,Y, 1370,Y,7,Y, 1550,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
62,hd,86282,2018,10,18,1,2,0.0,Y,1,14.6,Y,13.1,Y,11.8,Y,83,Y,13.8,Y,16.6,Y, 15,Y,319,Y,  8,Y, 17,Y,1480,Y,1490,Y,1470,Y, 1480,Y,     ,F,7,Y, 1430,Y,0,Y,    0,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
63,hd,86282,2018,10,18,1,3,0.0,Y,1,14.7,Y,13.0,Y,11.5,Y,81,Y,13.6,Y,16.7,Y, 15,Y,310,Y,  7,Y, 17,Y,1480,Y,1480,Y,1480,Y, 1490,Y,     ,F,7,Y, 1430,Y,0,Y,    0,Y,0,Y,    0,Y, , ,1012.1,Y,997.9,Y,1012.1,Y,#
